,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Almería,26,26.6,45.1,14,154,"1,260",14.0,16,12,16,0,0,47,3,1.14,0.86,2.00,1.14,2.00
1,Athletic Club,25,28.0,52.4,14,154,"1,260",14.0,23,17,21,2,3,23,1,1.64,1.21,2.86,1.50,2.71
2,Atlético Madrid,23,29.1,49.8,14,154,"1,260",14.0,20,16,20,0,0,43,2,1.43,1.14,2.57,1.43,2.57
3,Barcelona,25,26.5,64.3,14,154,"1,260",14.0,33,23,33,0,1,33,3,2.36,1.64,4.00,2.36,4.00
4,Betis,27,28.9,50.1,14,154,"1,260",14.0,16,9,13,3,3,33,7,1.14,0.64,1.79,0.93,1.57
5,Cádiz,27,29.3,40.6,14,154,"1,260",14.0,8,6,8,0,0,40,5,0.57,0.43,1.00,0.57,1.00
6,Celta Vigo,21,27.7,51.5,14,154,"1,260",14.0,14,12,13,1,2,31,3,1.00,0.86,1.86,0.93,1.79
7,Elche,26,28.9,43.4,14,154,"1,260",14.0,10,9,9,1,2,43,3,0.71,0.64,1.36,0.64,1.29
8,Espanyol,25,28.2,42.5,14,154,"1,260",14.0,16,9,14,2,2,28,4,1.14,0.64,1.79,1.00,1.64
9,Getafe,24,27.8,39.0,14,154,"1,260",14.0,12,7,12,0,2,46,6,0.86,0.50,1.36,0.86,1.36
10,Girona,25,26.5,52.7,14,154,"1,260",14.0,19,14,15,4,5,32,0,1.36,1.00,2.36,1.07,2.07
11,Mallorca,23,28.2,41.2,14,154,"1,260",14.0,13,9,11,2,3,59,2,0.93,0.64,1.57,0.79,1.43
12,Osasuna,22,28.4,46.1,14,154,"1,260",14.0,16,11,12,4,5,46,4,1.14,0.79,1.93,0.86,1.64
13,Rayo Vallecano,24,28.6,53.9,14,154,"1,260",14.0,19,13,16,3,4,39,2,1.36,0.93,2.29,1.14,2.07
14,Real Madrid,22,27.9,58.0,14,154,"1,260",14.0,33,24,30,3,5,24,1,2.36,1.71,4.07,2.14,3.86
15,Real Sociedad,27,26.1,56.0,14,154,"1,260",14.0,18,15,18,0,1,41,1,1.29,1.07,2.36,1.29,2.36
16,Sevilla,28,29.4,54.4,14,154,"1,260",14.0,13,10,13,0,0,57,6,0.93,0.71,1.64,0.93,1.64
17,Valencia,26,24.5,58.0,14,154,"1,260",14.0,22,12,18,4,6,41,4,1.57,0.86,2.43,1.29,2.14
18,Valladolid,28,28.6,48.2,14,154,"1,260",14.0,13,9,12,1,2,29,1,0.93,0.64,1.57,0.86,1.50
19,Villarreal,24,29.0,52.8,14,154,"1,260",14.0,14,7,13,1,1,32,2,1.00,0.50,1.50,0.93,1.43
20,Alavés,23,26.8,43.4,18,198,"1,620",18.0,20,10,18,2,3,43,4,1.11,0.56,1.67,1.00,1.56
21,Albacete,25,27.1,50.0,19,209,"1,710",19.0,21,12,18,3,3,45,5,1.11,0.63,1.74,0.95,1.58
22,Andorra,26,25.7,66.4,18,198,"1,620",18.0,20,15,18,2,2,26,3,1.11,0.83,1.94,1.00,1.83
23,Burgos,23,27.3,41.8,18,198,"1,620",18.0,17,15,16,1,1,37,3,0.94,0.83,1.78,0.89,1.72
24,Cartagena,26,31.0,53.4,18,198,"1,620",18.0,23,14,18,5,5,48,3,1.28,0.78,2.06,1.00,1.78
25,CD Mirandés,24,24.1,49.3,19,209,"1,710",19.0,21,17,19,2,2,38,3,1.11,0.89,2.00,1.00,1.89
26,Eibar,23,28.5,53.6,18,198,"1,620",18.0,20,13,16,4,5,56,4,1.11,0.72,1.83,0.89,1.61
27,Granada,26,28.8,55.5,18,198,"1,620",18.0,20,14,18,2,3,37,2,1.11,0.78,1.89,1.00,1.78
28,Huesca,27,28.4,41.8,18,198,"1,620",18.0,14,10,12,2,2,45,3,0.78,0.56,1.33,0.67,1.22
29,Las Palmas,25,26.5,64.7,19,209,"1,710",19.0,21,18,19,2,2,45,1,1.11,0.95,2.05,1.00,1.95
30,Leganés,25,29.3,52.9,19,209,"1,710",19.0,19,15,18,1,1,54,2,1.00,0.79,1.79,0.95,1.74
31,Levante,25,27.8,51.9,18,198,"1,620",18.0,20,10,16,4,4,59,3,1.11,0.56,1.67,0.89,1.44
32,Lugo,24,27.6,40.5,18,198,"1,620",18.0,17,10,15,2,3,50,4,0.94,0.56,1.50,0.83,1.39
33,Málaga,31,30.2,52.4,18,198,"1,620",18.0,12,5,12,0,1,44,3,0.67,0.28,0.94,0.67,0.94
34,Oviedo,26,27.8,43.6,19,209,"1,710",19.0,12,6,9,3,4,49,2,0.63,0.32,0.95,0.47,0.79
35,Ponferradina,28,27.8,53.0,18,198,"1,620",18.0,18,14,16,2,2,61,1,1.00,0.78,1.78,0.89,1.67
36,Racing Sant,26,26.9,40.2,18,198,"1,620",18.0,7,3,7,0,2,42,8,0.39,0.17,0.56,0.39,0.56
37,Sporting Gijón,28,27.7,45.5,18,198,"1,620",18.0,21,13,20,1,1,40,0,1.17,0.72,1.89,1.11,1.83
38,Tenerife,28,28.6,47.1,18,198,"1,620",18.0,17,11,14,3,3,46,4,0.94,0.61,1.56,0.78,1.39
39,UD Ibiza,26,26.7,46.3,18,198,"1,620",18.0,11,8,10,1,1,57,4,0.61,0.44,1.06,0.56,1.00
40,Villarreal B,27,22.4,51.2,18,198,"1,620",18.0,20,14,19,1,2,47,3,1.11,0.78,1.89,1.06,1.83
41,Zaragoza,27,27.1,55.4,19,209,"1,710",19.0,13,11,13,0,0,47,3,0.68,0.58,1.26,0.68,1.26
